SOC,Occupation,Probability,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
11-1011,Chief Executives,0.015,1030,760,5750,2710,31150,880,1410,340,2840,14120,6750,1840,1400,17440,4950,2050,4410,3440,1010,920,1800,11020,6260,7490,940,5180,600,690,1410,940,700,70,15410,4310,920,5340,6370,2650,9230,390,3400,560,5460,5890,3650,280,6320,5910,980,3740,160
11-1021,General and Operations Managers,0.16,26930,6490,43300,20680,261780,41540,33280,4080,26610,77340,90520,11070,12250,121040,49210,25900,19620,26190,29920,12360,47850,71880,58040,41480,24110,41440,4490,14420,17480,11030,44800,15550,162870,53770,7010,64710,27400,32350,70430,6640,31780,3730,44400,168610,36200,2760,52380,43760,10200,32350,4840
11-2011,Advertising and Promotions Managers,0.039,50,40,470,110,3760,480,300,0,220,750,820,200,160,3670,290,230,230,270,320,130,460,1290,650,610,150,390,30,80,280,150,630,190,5130,450,70,460,200,0,570,100,270,0,670,1210,380,40,240,640,40,200,0
11-2021,Marketing Managers,0.014,530,200,4790,1090,33390,3060,4970,590,1280,7600,7140,540,860,14030,2870,1920,1470,1490,920,810,2980,11790,3870,7800,470,2590,130,1060,1640,1170,11260,350,16500,5650,310,5350,1420,4830,6250,550,1710,60,3400,9570,2320,380,3840,5830,260,2980,30
11-2022,Sales Managers,0.013,2510,400,10650,2650,69180,4570,7040,860,1180,13560,15460,2470,2200,24150,5770,3350,3250,3420,3560,980,5230,14860,10090,12590,1460,5480,190,1930,3350,1750,12840,1200,20170,6750,710,11410,3890,6220,8930,850,3540,300,8890,22310,3360,480,5360,7390,600,5730,180
11-2031,Public Relations and Fundraising Managers,0.015,400,150,1240,300,7010,960,980,210,4360,1710,1470,360,200,3830,870,960,480,630,310,420,1350,4200,1300,1880,270,1020,140,580,470,470,1900,180,6040,1100,170,1790,720,1470,1640,260,520,0,870,3680,380,210,1250,2100,130,1010,0
11-3011,Administrative Services Managers,0.73,640,530,6870,1850,40720,2280,4110,820,1770,10710,9040,1480,1400,14450,3450,2240,2560,2580,2980,1580,5060,13040,6110,6930,3040,5350,320,1890,1450,860,8510,1690,18480,4630,660,9620,4630,3550,6860,670,3110,340,7550,20440,2120,410,4120,4890,1590,6070,220
11-3021,Computer and Information Systems Managers,0.035,3260,340,6720,2100,51840,6340,7900,1260,3850,11460,12520,640,1130,15740,4630,3450,2910,2440,1930,1430,9270,15540,8730,10150,1170,6090,460,1910,1350,1930,13930,1110,26000,11970,530,13040,3170,4850,12150,1160,3020,210,5540,20010,4190,340,13720,11790,720,6400,200
11-3031,Financial Managers,0.069,4990,870,10930,3020,70540,5930,14210,1840,7110,20390,16270,2150,1990,35170,7820,8770,3900,6450,4840,2710,11150,28640,13670,14710,2920,8750,640,2590,5430,3760,20180,2310,40250,15170,1200,20270,6370,7140,16190,2400,5080,610,13690,27670,4860,740,13370,12680,1580,8810,560
11-3051,Industrial Production Managers,0.03,3110,110,2530,1700,19120,1100,2800,290,40,4810,4940,220,570,7630,6390,3220,1800,4020,1420,620,1280,5220,10410,5590,1650,3370,100,1080,780,970,4930,470,4780,5230,460,10820,2320,2900,5850,410,2920,400,5030,10150,1840,400,2400,2500,700,6720,290
11-3061,Purchasing Managers,0.03,950,130,1780,510,8460,760,1360,130,1700,2470,1830,280,310,4210,1480,600,730,960,710,270,1640,2800,2640,2350,570,1040,40,490,450,350,2030,230,3900,2290,120,2480,760,0,1900,200,780,50,2000,5030,450,150,2480,2010,80,1290,40
11-3071,Transportation; Storage; and Distribution Managers,0.59,610,550,2320,1290,16300,1170,1160,310,410,4150,4200,570,520,8360,2640,1330,1150,1940,1510,570,1830,2670,2390,2030,950,1820,140,1890,1230,310,4550,430,3340,2300,410,5320,1280,1880,3210,280,1100,130,4090,9390,1550,130,2030,2190,460,2710,160
11-3111,Compensation and Benefits Managers,0.96,90,0,300,150,1590,190,250,40,120,600,480,30,90,1000,260,150,120,140,180,50,450,800,340,540,80,260,0,180,60,60,380,40,1490,450,0,560,230,150,540,70,150,0,500,690,170,0,360,380,0,340,0
11-3121,Human Resources Managers,0.0055,1320,190,2840,870,16190,1460,2200,430,1480,4970,4790,540,660,9020,2140,1550,1180,1500,1500,540,2170,5090,3770,4260,980,1840,190,770,970,620,3710,540,10100,3760,260,4200,1510,2380,4100,340,1640,220,3160,6670,1000,210,3480,3360,320,2700,130
11-3131,Training and Development Managers,0.0063,150,80,960,300,3430,340,770,70,280,1180,1170,210,80,2210,750,400,230,420,390,100,910,1540,680,1160,190,390,0,280,150,100,1270,100,3040,740,70,780,380,390,970,60,660,0,1140,1570,400,50,950,680,60,620,0
11-9013,Farmers; Ranchers; and Other Agricultural Managers,0.047,0,0,110,130,1240,0,0,0,0,120,0,0,140,230,0,210,0,110,70,0,0,0,60,60,0,110,0,0,30,0,50,30,60,130,60,70,140,200,40,0,60,0,70,340,0,0,30,130,0,50,0
11-9021,Construction Managers,0.071,3010,960,5800,1590,32590,6580,3050,430,800,18090,5670,1890,1320,8770,4750,3250,2290,2660,3290,1120,6360,6370,3900,4170,1120,3530,570,2340,3660,970,5070,1380,12640,9060,970,9630,2930,4690,8000,480,3200,200,4930,26440,2600,520,5270,6950,550,2890,390
11-9031,Education Administrators; Preschool and Childcare Center/Program,0.015,120,70,760,520,7120,700,810,0,300,640,1740,190,200,2710,770,750,510,310,340,170,1040,1980,1140,790,350,580,160,80,140,460,1650,310,4860,1470,150,2260,710,690,2580,160,600,70,750,2350,290,330,1030,1150,170,1050,110
11-9032,Education Administrators; Elementary and Secondary School,0.0046,3460,620,4640,2390,20120,4650,3890,870,1300,4670,7750,890,950,12100,4520,2690,2270,4170,3960,1410,5430,7210,6570,3140,2470,6060,750,1610,1750,1500,8630,1650,19260,8120,550,9740,3060,3170,7990,850,3890,610,5660,24970,1820,890,6620,4790,1720,4750,450
11-9033,Education Administrators; Postsecondary,0.01,2460,180,0,1290,14230,2280,2170,260,1850,1270,3190,300,990,8280,3360,2400,1340,1610,1660,690,2530,0,5000,2740,1620,2430,310,1190,680,830,2170,770,11380,4590,480,4790,1400,1310,4480,710,2500,230,4460,5120,1080,390,3050,2120,0,3170,120
11-9041,Architectural and Engineering Managers,0.017,2410,370,3320,630,28640,3250,3350,520,1580,6380,4420,0,1110,9430,3880,1770,1490,2010,1510,570,4800,7350,10090,4200,840,2250,250,600,960,1160,4180,1830,7430,3660,390,6570,1990,3800,5850,380,2500,110,3350,11240,2120,270,4030,4460,300,3760,180
11-9051,Food Service Managers,0.083,2250,320,4580,1320,35100,2150,1880,410,1430,9160,8310,1730,1250,0,3750,3390,1610,3750,1690,970,2460,5550,5170,3330,1430,3870,350,950,2410,1140,2760,790,6010,5690,580,7610,3450,3870,5590,390,2900,820,9710,10520,1500,340,4150,2190,1360,5570,450
11-9071,Gaming Managers,0.091,0,0,70,0,510,70,30,0,0,170,0,0,0,120,80,200,0,0,220,0,0,0,320,100,230,100,0,0,530,0,0,70,70,0,50,40,480,50,130,0,0,0,0,0,0,0,0,170,0,50,0
11-9081,Lodging Managers,0.0039,520,160,1110,280,4580,630,140,90,130,3380,670,490,210,1280,450,410,240,350,400,540,420,650,1100,400,490,620,280,50,600,280,570,220,580,890,160,930,730,410,1320,80,430,210,1140,3110,410,230,1070,870,180,620,280
11-9111,Medical and Health Services Managers,0.0073,2960,880,7240,3630,33160,4420,5260,860,1780,12130,7470,1410,1830,13130,7940,5560,3440,4480,3320,1740,9900,13380,10980,7530,2580,5860,1210,2920,1780,1510,9960,1930,26010,7990,880,15540,6130,4440,13640,1380,5240,750,9460,21840,2640,780,7450,5890,1260,7980,660
11-9121,Natural Sciences Managers,0.018,140,410,960,320,8210,1330,980,410,1030,950,1030,240,370,1780,1820,350,160,290,310,240,2820,3360,0,1360,160,870,330,200,180,140,4590,350,1900,2310,140,1130,260,1200,2860,90,470,80,510,2000,910,70,1240,1840,120,540,140
11-9131,Postmasters and Mail Superintendents,0.75,280,170,160,210,800,230,170,40,0,360,370,60,150,550,310,340,220,280,260,210,240,340,450,350,190,320,180,180,70,170,430,160,880,520,120,510,270,240,820,40,210,130,280,840,120,130,410,310,230,360,90
11-9141,Property; Real Estate; and Community Association Managers,0.81,440,330,4650,1610,28730,2030,2340,430,1690,20850,4730,2550,1670,8530,3710,1220,2050,1950,2900,440,3800,4750,5120,3330,1370,3550,790,690,3350,610,4540,700,7500,2900,540,5160,2270,2220,4100,650,1940,870,4820,11420,2300,400,2590,2460,660,1740,280
11-9151,Social and Community Service Managers,0.0067,1190,380,1770,1330,16580,1330,3190,740,1140,3150,2310,670,970,3680,2340,2350,1100,2040,1810,1070,2830,6630,4620,3010,780,2050,540,840,760,620,3290,860,11960,2340,590,4170,1110,3260,7000,500,880,280,2140,3650,1280,600,2440,3350,480,3860,370
11-9161,Emergency Management Directors,0.003,180,70,140,130,900,130,130,0,200,150,380,70,100,380,330,160,210,140,90,60,100,110,140,230,170,170,70,130,40,50,390,90,600,200,80,310,240,70,430,40,220,90,140,480,130,0,440,150,70,170,40
